doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
 Projection ofdroppanel below theslabshall be at least one-quarter the slab thickness beyond the drop. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.7.2,,,,,,734
" In computing required slab reinforcement, thickness ofdroppanel below the slab shall not be assumed greaterthan the distance from edge ofdroppanel to edge ofcolumn or column capital. 13.4.8- Details of reinforcement in slabs without beams ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.7.3,,,,,,735
" In addition to the other requirements of 13.4, reinforcement in slabs without beams shall have minimum bend point locationsand extensions forreinforcementasprescribed inFig. 13.4.8. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.8.1,,,,,,736
" Whereadjacentspansare unequal, extension of negative reinforcement beyond the face of support as prescribed inFig. 13.4.8 shall be based on requirements of the longer span. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.8.2,,,,,,737
 Bent bars may be used only when depth-span ratio permits use of bends 45degor less. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.8.3,,,,,,738
" For slabs in frames not braced against sidesway and for slabs resisting lateral loads, lengths of reinforcement shall be determined by analysis but shall not be less than those prescribed in Fig. 13.4.8. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.8.4,,,,,,739
"ㅎ 01119007 digas T남국 SAVS MINIMUM PERCENT-As ATSECTION 50 007 rave +b Remainder 19918813 W01708 50 BOST Remainder NW0901 50 dol ISATE Remainder CONT W01109 50 Remainder SEVB 107 100 199371.7 W01108 50 dilles Remainder * Jc(allbars) 37031W 50 dol XASON Remainder S  WOT108 50 Remainder C S Exterior support (No slab continuity) * Bent bars af exterior supports may be used if 0 general analysis IS made Fig. 13.4.8-Minimum bend point locations and extensionsfor reinforcement in slabswithout beams WITHOUT DROP PANELS WITH DROP PANELS d e e btb 0 3* Max Max 0.125! Mox. 0.1251 24bar dia or12 Min all bors 6 Edge of drop d be b+ e g g rMax00.125/ 624bardia or12""Min F 3"" Max 6 Edgeof drop C C C C 3 Max 3 Max. 6 Max 00.152 Max0.15.0 6 C [이너] I*c(ollbars)커 I** C -6 3"" Max. 3 Max. 6 Clear spon-1 C Clear span-/ n n Face of supporf Face of support Center to centerspon-l Center 10 centerspon-l t Interior support Exterior supporf C (Continuity provided) (No slab continuity) BAR LENGTHFROM FACEOF SUPPORT MINIMUM LENGTH MAXIMUM LENGTH MARK 0 b C d e f 9 LENGTH 0.142n 0.20.2 0.222n 0.30f 0.33.2 0.202n Q242n ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.8.5  Atleast two ofthe column strip bottom barsor wires in each direction shall be continuous or spliced at the support with Class A splices or anchored within support. These bars shall pass through thecolumn and shall be placed within the column core.,,,,,,740
 Openings in slab systems ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.4.7  Where adrop panel is used to reduce amount of negative moment reinforcement over the column ofa flat slab, size ofdrop panel shall be in accordance with the following.",13.4.8.5  Atleast two ofthe column strip bottom barsor wires in each direction shall be continuous or spliced at the support with Class A splices or anchored within support. These bars shall pass through thecolumn and shall be placed within the column core.,13.5,,,,,741
" Openings of any size may be provided in slab systemsif shown by analysis that thedesignstrength is atleast equal to the required strength considering9.2 and 9.3, and that all serviceability conditions, includingthe specified limits on deflections, are met. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.5.1,,,,,,,742
,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.5.2  In lieu of special analysis as required by 13.5.1, openings may be provided in slab systems without beams only in accordance with the following.",,,,,,,743
" Openingsofany size may be locatedin the area common t0 intersecting middle strips, provided total amount ofreinforcement required for the panelwithout the opening is maintained. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.5.2  In lieu of special analysis as required by 13.5.1, openings may be provided in slab systems without beams only in accordance with the following.",13.5.2.1,,,,,,744
" In the area common to intersecting column strips, not more than one-eighth the width ofcolumn stripin either span shall be interrupted by openings. An amount of reinforcement equivalent to that interrupted by an opening shall be added on the sides ofthe opening. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.5.2  In lieu of special analysis as required by 13.5.1, openings may be provided in slab systems without beams only in accordance with the following.",13.5.2.2,,,,,,745
" In the area common to one column strip and one middle strip, not more than one-quarter the reinforcement in either strip shall be interrupted by openings. An amountof reinforcement equivalent tothatinterrupted by an opening shall be added on the sides of theopening. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.5.2  In lieu of special analysis as required by 13.5.1, openings may be provided in slab systems without beams only in accordance with the following.",13.5.2.3,,,,,,746
,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.5.2  In lieu of special analysis as required by 13.5.1, openings may be provided in slab systems without beams only in accordance with the following.",13.5.2.4  Shear requirementsof11.112.5 shall be satisfied.,,,,,,747
 Direct design method ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.5.2  In lieu of special analysis as required by 13.5.1, openings may be provided in slab systems without beams only in accordance with the following.",13.5.2.4  Shear requirementsof11.112.5 shall be satisfied.,13.6,,,,,748
,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,,,,,,,749
 There shall be a minimum of three continuous spans in each direction. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.1.1,,,,,,750
 Panels shall be rectangular with a ratio of longerto shorter spancenter-to-center of supports within a panel not greater than 2. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.1.2,,,,,,751
 Successive span lengths center-to-center of supports in each direction shall notdiffer by more than onethird the longer span. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.1.3,,,,,,752
 Columns may be offset a maximum of 10 percent of the span (in direction of offset) from either axis between centerlinesof successive columns. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.1.4,,,,,,753
 All loads shall be due to gravity only and uniformly distributed over an entire panel. Live load shall not exceed three times dead load. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.1.5,,,,,,754
,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,"13.6.1.6  For a panel with beams between supports on all sides, therelativestiffnessofbeams intwo perpendicular directions",,,,,,755
 (13-2) 2 shall not be less than0.2 nor greaterthan 5.0. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,"13.6.1.6  For a panel with beams between supports on all sides, therelativestiffnessofbeams intwo perpendicular directions",0.7,,,,,756
" Moment redistribution as permitted by 8.4 shall not be applied for slab systems designed by the Direct Design Method, See 13.6.7. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.1.7,,,,,,757
 Variations from the limitations of 13.6.1 may be considered acceptableifdemonstrated by analysisthatrequirements of 13.3.1 are satisfied. 13.6.2--Total factored static momentfor 8 span  ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.1.8,,,,,,758
 Totalfactored static momentforaspan shall be determined inastrip bounded laterally by center line ofpanel on each side of centerline ofsupports. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.2.1,,,,,,759
" Absolute sum ofpositive and average negative factored moments in each direction shall not be less than M. = w, 개 (13-3) 8 ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.2.2,,,,,,760
" Where the transverse span of panels on either side ofthecenterlineofsupports varies,5inEq. (13-3) shall be taken as the averageof adjacent transverse spans. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.2.3,,,,,,761
" When the span adjacent and parallel to an edge isbeing considered, the distancefrom edge to panel centerline shall be substituted for 5 in Eq.(13-3). ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.2.4,,,,,,762
" Clear span4 shall extend from face to face of columns, capitals, brackets, or walls. Value of 4 used in Eq. (13-3) shall not be less than0.654. Circularorregularpolygon shaped supports shall be treated as square supports with the same area. 13.6.3 Negative and positive factored moments ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.2.5,,,,,,763
 Negative factored moments shall be located at face of rectangular supports. Circular or regular polygon shaped supports shall be treated as square supports with the same area.  ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.3.1,,,,,,764
" Inan interior span,total static momentM, shall be distributed as follows: Negative factored moment. 0.65 Positive factored moment 0.35 ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.3.2,,,,,,765
" In an end span, total factored static momentMo shall be distributed as follows: (1) (2) (3) (4) (5) Slabwithoutbeams Slabwith betweeninterior Exterior beams supports Exterior odgeunrebetweenall Without With edge edge fully, strained supports edgebeam' beam restrained Interior negative factored moment 0.75 0.70 0.70 0.70 0.65 Positive factored moment 0.63 0.57 0.52 0.50 0.35 Exterior negative factored moment 0 0.16 0.26 0.30 0.65 See 13.6.3.6 ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.3.3,,,,,,766
 Negative moment sections shall be designed to resist the larger of the two interior negative factored moments determined for spans framing into a common support unless an analysis is made to distribute the unbalanced momentin accordance with stiffnesses ofadjoining elements. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.3.4,,,,,,767
 Edge beams or edges of slab shall be proportioned to resistin torsion their shareofexterior negative factored moments. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.3.5,,,,,,768
" For momenttransfer between slab and an edge column in accordance with 13.3.3. 1, column strip nominal moment strength provided shall be used as the transfer moment for gravity load. 13.6.4-·Factored moments in column strips ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.3.6,,,,,,769
 Column strips shall be proportioned to resist the following portions in percent of interior negative factored moments: 년4 0.5 1.0 2.0 (머신()=0 75 75 75 (머신4)21.0 90 75 45 Linear interpolations shall be made between values shown. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.4.1,,,,,,770
" Column strips shall be proportioned to resist the following portions in percent of exterior negative factored moments: 신4 0.5 1.0 2.0 (미신()=0 3r=0 100 100 100 8,22.5 75 75 75 (미신식)21.0 Bt=0 100 100 100 3,22.5 90 75 45 Linear interpolations shall be made between values shown. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.4.2,,,,,,771
" Where supports consist of columns or walls extending for a distanceequal toor greater than three-quarters the span length 5 used to computeM, negative moments shall be considered to be uniformly distributed across5 ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.4.3,,,,,,772
 Column strips shall be proportioned to resist the following portions in percent of positive factored moments: 신4 0.5 1.0 2.0 (씨신())=0 60 60 60 (미상7)21.0 90 75 45 Linear interpolations shall be made between values shown. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.4.4,,,,,,773
" For slabs with beams between supports, the slab portion ofcolumn strips shall be proportioned to resist that portion of column strip moments not resisted by beams. 13.6.5 -Factored moments in beams ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.4.5,,,,,,774
 Beams between supports shall be proportioned to resist 85 percent of column strip moments if(apill)is equal toor greater than 1.0. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.5.1,,,,,,775
" For values of(apill) between 1.0 and zero, proportion of column strip moments resisted by beams shall be obtained by linear interpolation between 85 and zero percent. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.5.2,,,,,,776
" In addition to moments calculated for uniform loads according to 13.6.2.2, 13.6.5.1, and 13.6.5.2, beams shall be proportioned to resist all moments caused by concentrated or linear loads applied directly to beams, including weight of projecting beam stem above or below the slab. 13.6.6-Factored momentsin middle strips ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.5.3,,,,,,777
 That portion of negative and positive factored moments not resisted by column strips shall be proportionately assigned to corresponding half middle strips. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.6.1,,,,,,778
 Each middlestripshallbeproportionedto resist the sum of the moments assigned to its two half middle strips. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.6.2,,,,,,779
"13.6.8-Factored shear in slab systems with beams 13.6.8.1 Beams with (ajbyA) equal to or greater than 1.0 shall be proportioned t0 resist shear caused by factored loads on tributaryareas bounded by45deglines drawn from the corners of the panels and the centerlines of the adjacent panelsparallel to thelongsides. 13.6.8.2 Beams with(allivi) less than 1.0 may be proportioned toresist shear obtained by linear interpolation, assuming beams carry no load ata=0. 13.6.8.3 In addition to shears calculated according to 13.6.8.1 and 13.6.8.2, beams shall be proportioned to resist shears caused by factored loads applied directly on beams.  13.6.8.4 Slabshearstrengthmay becomputed ontheassumption that load is distributed to supporting beams in accordance with 13.6.8.1 or 13.6.8.2. Resistance to total shear occurring on a panel shall be provided. 13.6.8.5 Shear strength shall satisfy requirements of Chapter 11. 13.6.9- -Factored moments in columns and walls 13.6.9.1 Columns and walls built integrally with a slab system shall resist moments caused by factored loads on the slab system. 13.6.9.2 At an interior support, supporting elements aboveand below the slab shall resist the moment specified by Eq. (13-4)in direct proportion to their stiffnesses unless a general analysis is made. M = 0.07[(wa+0.5wi)8262-mmp(p:)] (13-4) wherew'd,l and6% refer to shorterspan. 13.6.10- Provisions foreffects of patternloadings WhereratioB. ofdead load to live loadis lessthan 2, one of the following conditions shall be satisfied: a) Sum of flexural stiffnesses of the columns above and below the slab shall be such that0c is not less thanOmmin specified in Table 13.6.10. b) Ifo for the columns above and below the slab is less than Omim: specified in Table 13.6.10, positive factored moments in panels supported by such columns shall be multiplied by the coefficient 6s determined from Eq.(13-5). Table 13.6.10 Values of Xmin Aspect Relative beamstiffness,0. ratio Ba 신 0 0.5 1.0 2.0 4.0 2.0 0 0 0 0 0 0 0.5 0.6 0 0 0 0 ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.6.3  A middle strip adjacent to and parallel with an edgesupported byawall shall be proportionedto resisttwice the moment assigned to the half middle strip corresponding to the firstrow ofinterior supports. 13.6.7--M(odification of factored moments Negativeand positive factored moments may bemodified by 10 percent provided the total static moment fora panel in the direction considered is not less than that required by Eq. (13-3).,,,,,,780
 0.7 0 0 0 0 ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.6.3  A middle strip adjacent to and parallel with an edgesupported byawall shall be proportionedto resisttwice the moment assigned to the half middle strip corresponding to the firstrow ofinterior supports. 13.6.7--M(odification of factored moments Negativeand positive factored moments may bemodified by 10 percent provided the total static moment fora panel in the direction considered is not less than that required by Eq. (13-3).,0.8,,,,,781
 1.0 0.7 0.1 0 0 0 1.25 0.8 0.4 0 0 0 ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.6.3  A middle strip adjacent to and parallel with an edgesupported byawall shall be proportionedto resisttwice the moment assigned to the half middle strip corresponding to the firstrow ofinterior supports. 13.6.7--M(odification of factored moments Negativeand positive factored moments may bemodified by 10 percent provided the total static moment fora panel in the direction considered is not less than that required by Eq. (13-3).,1,,,,,782
" 1.2 0.5 0.2 0 0 0.5 1.3 0.3 0 0 0 0.8 1.5 0.5 0.2 0 0 0.5 1.0 1.6 0.6 0.2 0 0 1.25 1.9 1.0 0.5 0 0 2.0 4.9 1.6 0.8 0.3 0 0.5 1.8 0.5 0.1 0 0 0.8 2.0 0.9 0.3 0 0 0.33 1.0 2.3 0.9 0.4 0 0 1.25 2.8 1.5 0.8 0.2 0 2.0 13.0 2.6 1.2 0.5 0.3 6, = 1+ (13-5) where Bais ratio of dead load to live load, per unit area (in each case without load factors). 13.7-Equivalentframe method ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,13.6.1 -Limitations Slab systems within the following limitations may be designed by the Direct Design Method.,13.6.6.3  A middle strip adjacent to and parallel with an edgesupported byawall shall be proportionedto resisttwice the moment assigned to the half middle strip corresponding to the firstrow ofinterior supports. 13.6.7--M(odification of factored moments Negativeand positive factored moments may bemodified by 10 percent provided the total static moment fora panel in the direction considered is not less than that required by Eq. (13-3).,2,,,,,783
,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",,,,,,,784
" Where metal columncapitals are used, account may betaken oftheircontributionsto stiffnessand resistance to moment and to shear. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.1.1,,,,,,785
" Change in length of columns and slabs due to directstress, and deflectionsdue toshear, may be neglected. 13.7.2 Equivalent frame ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.1.2,,,,,,786
 The structureshallbe consideredto be made up of equivalent frames on column lines taken longitudinally and transversely through the building. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.2.1,,,,,,787
" Each frame shall consist of a row ofcolumns or supports and slab-beam strips, bounded laterally by the centerline ofpanel on each side ofthe centerlineofcolumns orsupports. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.2.2,,,,,,788
 Columns or supports shall be assumed to beattached to slab-beam strips by torsional members (13.7.5) transverseto thedirectionofthe span for which momentsare being determined and extending t0 bounding lateral panel centerlines on each sideofa column.  ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.2.3,,,,,,789
 Frames adjacent andparallelto anedgeshall be bounded by that edge and the centerline ofadjacent panel. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.2.4,,,,,,790
" Each equivalent frame may be analyzed in its entirety, orforgravity loading, each floor and the roof(slabbeams)may be analyzed separately with far endsofcolumns considered fixed. ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.2.5,,,,,,791
" Where slab-beams are analyzed separately, it may be assumed in determining moment ata given support that the slab-beam is fixed at any support two panels distant therefrom, provided the slab continues beyond that point. 13.7.3 Slab-beams ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.2.6,,,,,,792
 Moment of inertia of slab-beams at any cross section outside ofjoints or column capitals may be based on the gross area ofconcrete. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.3.1,,,,,,793
 Variation in moment of inertia along axis of slab-beams shall be taken into account. ,ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.3.2,,,,,,794
" Moment ofinertia of slab-beams from center of column to faceofcolumn, bracket, orcapitalshall beassumed equalto the momentof inertiaof the slab-beamat face ofcolumn, bracket, or capital divided by the quantity (1 2214)2 where C2and.6are measured transversetothe direction ofthe span for which moments are being determined 13.7.4 Columns ",ACI_349_97 ,PART 5 -STRUCTURAL SYSTEMS OR ELEMENTS,Chapter 13 -Two-Way Slab Systems,"13.7.1  Design of slab systems by the Equivalent Frame Method shall be based on assumptions given in 13.7.2 through 13.7.6, and all sections of slabs and supporting members shall be proportioned for moments and shearsthus obtained.",13.7.3.3,,,,,,795
