doc_content,doc_section,content_root1,content_root2,content_root3,content_root4,content_chapter,doc_title,doc_index,doc_order
 Middle strip isa design strip bounded by two column strips.  ,13.2.2,13.2 -Definitions,13.2.2,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1079
" A panel IS bounded by column, beam, or wall centerlines on all sides. ",13.2.3,13.2 -Definitions,13.2.3,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1080
" For monolithic or fully composite construction, a beam includes that portion ofslab on each side ofthe beam extending a distance equal to the projection ofthe beam aboveor below the slab, whichever 1S greater, but not greater than 4 times the slab thickness. ",13.2.4,13.2 -Definitions,13.2.4,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1081
,13.3 -Slab reinforcement,13.3 -Slab reinforcement,,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1082
" Area of reinforcement in each direction for tWoway slab systems shall be determined from moments at critical sections, but shall not be less than required by 7.12. ",13.3.1,13.3 -Slab reinforcement,13.3.1,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1083
" Spacing ofreinforcement at critical sections shall not exceed two times the slab thickness, except for portions of slab area ofcellular or ribbed construction. In the slab over cellular spaces, reinforcementshall be provided as required by 7.12 ",13.3.2,13.3 -Slab reinforcement,13.3.2,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1084
" Positivemoment reinforcement perpendicular toa discontinuous edge shall extend to the edgeofslab and have embedment, straight orhooked, at least 6 in. in spandrel beams, columns, or walls. ",13.3.3,13.3 -Slab reinforcement,13.3.3,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1085
" Negative moment reinforcement perpendicular to a discontinuous edge shall be bent, hooked, or otherwise anchored, in spandrel beams,columns,or walls, to be developed at face ofsupport according to provIsions ofChapter 12. ",13.3.4,13.3 -Slab reinforcement,13.3.4,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1086
" Wherea slab 1S not supported by a spandrel beam or wall ata discontinuous edge, or where a slab cantilevers beyond the support, anchorage ofreinforcement shall be permitted within the slab. ",13.3.5,13.3 -Slab reinforcement,13.3.5,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1087
,"13.3.6  In slabs with beams between supports with a value of a greater than 1.0, special top and bottom slab reinforcement shall be provided at exterior corners in accordance with the following:",13.3 -Slab reinforcement,"13.3.6  In slabs with beams between supports with a value of a greater than 1.0, special top and bottom slab reinforcement shall be provided at exterior corners in accordance with the following:",,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1088
 The special reinforcement in bothtop and bottom ofslab shall be sufficient to resista moment equal to the maximum positive moment(per foot of width) in the slab. ,13.3.6.1,13.3 -Slab reinforcement,"13.3.6  In slabs with beams between supports with a value of a greater than 1.0, special top and bottom slab reinforcement shall be provided at exterior corners in accordance with the following:",13.3.6.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1089
 The moment shall be assumed to be about an axis perpendicularto the diagonal from the corner in the top ofthe slab and about an axis parallel to the diagonal from the corner in the bottom ofthe slab. ,13.3.6.2,13.3 -Slab reinforcement,"13.3.6  In slabs with beams between supports with a value of a greater than 1.0, special top and bottom slab reinforcement shall be provided at exterior corners in accordance with the following:",13.3.6.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1090
 Thespecial reinforcement shall be provided for a distance in each direction from the corner equal to one-fifth the longer span. ,13.3.6.3,13.3 -Slab reinforcement,"13.3.6  In slabs with beams between supports with a value of a greater than 1.0, special top and bottom slab reinforcement shall be provided at exterior corners in accordance with the following:",13.3.6.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1091
" The special reinforcement shall be placed ina bandparallel to the diagonal in the top ofthe slab and a band perpendicular to the diagonal in the bottom ofthe slab. Alternatively, the special reinforcement shall be placed in tWo layersparallel to the sides ofthe slab in both the top and bottom of the slab ",13.3.6.4,13.3 -Slab reinforcement,"13.3.6  In slabs with beams between supports with a value of a greater than 1.0, special top and bottom slab reinforcement shall be provided at exterior corners in accordance with the following:",13.3.6.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1092
,"13.3.7  Wherea droppanelis used toreduce amount of negative moment reinforcement over the column ofa flat slab, size ofdroppanel shall be in accordance with thefollowing:",13.3 -Slab reinforcement,"13.3.7  Wherea droppanelis used toreduce amount of negative moment reinforcement over the column ofa flat slab, size ofdroppanel shall be in accordance with thefollowing:",,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1093
 Drop panel shall extend in each direction from centerline of support a distance not less than one-sixth the span length measured from center-to-center of supports in that direction. ,13.3.7.1,13.3 -Slab reinforcement,"13.3.7  Wherea droppanelis used toreduce amount of negative moment reinforcement over the column ofa flat slab, size ofdroppanel shall be in accordance with thefollowing:",13.3.7.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1094
 Projection ofdrop panel below the slab shall be atleastone-quarter the slab thickness beyond thedrop. ,13.3.7.2,13.3 -Slab reinforcement,"13.3.7  Wherea droppanelis used toreduce amount of negative moment reinforcement over the column ofa flat slab, size ofdroppanel shall be in accordance with thefollowing:",13.3.7.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1095
" In computing required slab reinforcement, thickness ofdroppanel below the slab shall not be assumed greaterthan one-quarter the distance from edge of droppanel to edge ofcolumn or column capital.  ",13.3.7.3,13.3 -Slab reinforcement,"13.3.7  Wherea droppanelis used toreduce amount of negative moment reinforcement over the column ofa flat slab, size ofdroppanel shall be in accordance with thefollowing:",13.3.7.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1096
,13.3.8  Details ofreinforcementin slabs without beams,13.3 -Slab reinforcement,13.3.8  Details ofreinforcementin slabs without beams,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1097
" In addition to the other requirements of13.3, reinforcement in slabs without beams shall have minmmum extensions as prescribed in Fig. 13.3.8. ",13.3.8.1,13.3 -Slab reinforcement,13.3.8  Details ofreinforcementin slabs without beams,13.3.8.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1098
" Where adjacent spans are unequal, extensions of negative moment reinforcement beyond the face of support as prescribed in Fig. 13.3.8 shall be based on requirements of the longer span. ",13.3.8.2,13.3 -Slab reinforcement,13.3.8  Details ofreinforcementin slabs without beams,13.3.8.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1099
 Bent bars shall be permitted only when depthspan ratio permits use of bends 45 degrees or less. ,13.3.8.3,13.3 -Slab reinforcement,13.3.8  Details ofreinforcementin slabs without beams,13.3.8.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1100
" For slabs in frames not braced against sidesway, and for slabs resisting lateral loads, lengths of reinforcement shall be determined by analysis but shall not be less than those prescribed in Fig. 13.3.8. ",13.3.8.4,13.3 -Slab reinforcement,13.3.8  Details ofreinforcementin slabs without beams,13.3.8.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1101
" All bottom bars or wires within the column strip, in each direction, shall be continuous or spliced with Class A splices located as shown in Fig. 13.3.8. At least two of the column strip bottom bars or wires in each direction shall pass within the column core and shall be anchored at exterior supports. ",13.3.8.5,13.3 -Slab reinforcement,13.3.8  Details ofreinforcementin slabs without beams,13.3.8.5,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1102
" In slabs with shearheads and in lift-slab construction, at least two bonded bottom bars or wires in each direction shall pass through the shearhead or lifting collar as close to the column as practicable and be continuous or spliced with a Class A splice. At exterior columns, the reinforcement shall be anchored at the shearhead or lifting collar. ",13.3.8.6,13.3 -Slab reinforcement,13.3.8  Details ofreinforcementin slabs without beams,13.3.8.6,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1103
,13.4 -Openings in slab systems,13.4 -Openings in slab systems,,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1104
" Openings of any size shall be permitted in slab systems if shown by analysis that the design strength is at least equal to the required strength considering 9.2 and 9.3, and that all serviceability conditions, including the specified limits on deflections, are met. ",13.4.1,13.4 -Openings in slab systems,13.4.1,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1105
,"13.4.2  As an alternate to special analysis as required by 13.4.1, openings shall be permitted in slab systems without beams only in accordance with the following:",13.4 -Openings in slab systems,"13.4.2  As an alternate to special analysis as required by 13.4.1, openings shall be permitted in slab systems without beams only in accordance with the following:",,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1106
" Openings of any size shall be permitted in the area common to intersecting middle strips, provided total amount of reinforcement required for the panel without the opening is maintained. ",13.4.2.1,13.4 -Openings in slab systems,"13.4.2  As an alternate to special analysis as required by 13.4.1, openings shall be permitted in slab systems without beams only in accordance with the following:",13.4.2.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1107
" In the area common to intersecting column strips, not more than one-eighth the width of column strip in either span shall be interrupted by openings. An amount of reinforcement equivalent to that interrupted by an opening shall be added on the sides of the opening. ",13.4.2.2,13.4 -Openings in slab systems,"13.4.2  As an alternate to special analysis as required by 13.4.1, openings shall be permitted in slab systems without beams only in accordance with the following:",13.4.2.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1108
" In the area common to one column strip and one middle strip, not more than one-quarter of the reinforcement in either strip shall be interrupted by openings. An amount of reinforcement equivalent to that interrupted by an opening shall be added on the sides of the opening. ",13.4.2.3,13.4 -Openings in slab systems,"13.4.2  As an alternate to special analysis as required by 13.4.1, openings shall be permitted in slab systems without beams only in accordance with the following:",13.4.2.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1109
 Shear requirements of 11.12.5 shall be satisfied. ,13.4.2.4,13.4 -Openings in slab systems,"13.4.2  As an alternate to special analysis as required by 13.4.1, openings shall be permitted in slab systems without beams only in accordance with the following:",13.4.2.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1110
,13.5 -Design procedures,13.5 -Design procedures,,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1111
,"13.5.1  A slab system shall be designed by any procedure satisfying conditions of equilibrium and geometric compatibility, if shown that the design strength at every section is at least equal to the required strength considering 9.2 and 9.3, and that all serviceability conditions, including specified limits on deflections, are met.",13.5 -Design procedures,"13.5.1  A slab system shall be designed by any procedure satisfying conditions of equilibrium and geometric compatibility, if shown that the design strength at every section is at least equal to the required strength considering 9.2 and 9.3, and that all serviceability conditions, including specified limits on deflections, are met.",,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1112
" Design of a slab system for gravity loads, including the slab and beams (if any) between supports and supporting columns or walls forming orthogonal frames, by either the Direct Design Method of 13.6 or the Equivalent Frame Method of 13.7 shall be permitted. ",13.5.1.1,13.5 -Design procedures,"13.5.1  A slab system shall be designed by any procedure satisfying conditions of equilibrium and geometric compatibility, if shown that the design strength at every section is at least equal to the required strength considering 9.2 and 9.3, and that all serviceability conditions, including specified limits on deflections, are met.",13.5.1.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1113
" For lateral loads, analysis of unbraced frames shalltake into accounteffects of cracking and reinforcement on stiffness of frame members. ",13.5.1.2,13.5 -Design procedures,"13.5.1  A slab system shall be designed by any procedure satisfying conditions of equilibrium and geometric compatibility, if shown that the design strength at every section is at least equal to the required strength considering 9.2 and 9.3, and that all serviceability conditions, including specified limits on deflections, are met.",13.5.1.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1114
 Combining the results ofthegravity load analysis with the results of the lateral load analysis shall be permitted. ,13.5.1.3,13.5 -Design procedures,"13.5.1  A slab system shall be designed by any procedure satisfying conditions of equilibrium and geometric compatibility, if shown that the design strength at every section is at least equal to the required strength considering 9.2 and 9.3, and that all serviceability conditions, including specified limits on deflections, are met.",13.5.1.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1115
 The slab and beams(ifany) between supports shall be proportioned for factored moments prevailing atevery section. ,13.5.2,13.5 -Design procedures,13.5.2,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1116
,"13.5.3  When gravity load. wind, earthquake, or other lateral forces cause transfer ofmoment between slab and column, a fraction ofthe unbalanced moment shall be transferred by flexure in accordance with 13.5.3.2 and 13.5.3.3",13.5 -Design procedures,"13.5.3  When gravity load. wind, earthquake, or other lateral forces cause transfer ofmoment between slab and column, a fraction ofthe unbalanced moment shall be transferred by flexure in accordance with 13.5.3.2 and 13.5.3.3",,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1117
 Fraction ofunbalanced moment not transferred by flexure shall be transferred by eccentricity ofshear in accordance with 11.12.6  ,13.5.3.1,13.5 -Design procedures,"13.5.3  When gravity load. wind, earthquake, or other lateral forces cause transfer ofmoment between slab and column, a fraction ofthe unbalanced moment shall be transferred by flexure in accordance with 13.5.3.2 and 13.5.3.3",13.5.3.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1118
" A fraction of the unbalanced moment givenby gMu shall be considered to be transferred by flexure within an effective slab width between lines that are one and onehalf slab or drop panel thicknesses (1.5h) outside opposite faces ofthe column or capital, whereMuis the moment tobe transferred and 1 1+(2/3),16,162 ",13.5.3.2,13.5 -Design procedures,"13.5.3  When gravity load. wind, earthquake, or other lateral forces cause transfer ofmoment between slab and column, a fraction ofthe unbalanced moment shall be transferred by flexure in accordance with 13.5.3.2 and 13.5.3.3",13.5.3.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1119
" For unbalanced moments about an axis parallel to the edge at exterior supports, the value ofggby Eq. (13-1) shall be permitted to be increased upto 1.0 provided thatVu at an edge support does notexceed 0.75 fV. or ata corner supportdoes not exceed 0 5fV c For unbalanced momentsat interior supports, and for unbalanced moments about an axis transverse to the edge at exterior supports, the value of gm EQ.(13-1) shall be permitted to be increased by up to25% provided thatVu at thesupport does not exceed 0.4fV, c- The reinforcement ratior, within the effective slab width defined in 13.5.3.2, shall not exceed 0.375rb No adjustments to shall be permitted for prestressed slab systems. ",13.5.3.3,13.5 -Design procedures,"13.5.3  When gravity load. wind, earthquake, or other lateral forces cause transfer ofmoment between slab and column, a fraction ofthe unbalanced moment shall be transferred by flexure in accordance with 13.5.3.2 and 13.5.3.3",13.5.3.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1120
 Concentration ofreinforcement over the column by closer spacing oradditional reinforcement shall be used to resist moment on the effective slab width defined in 13.5.3.2 ,13.5.3.4,13.5 -Design procedures,"13.5.3  When gravity load. wind, earthquake, or other lateral forces cause transfer ofmoment between slab and column, a fraction ofthe unbalanced moment shall be transferred by flexure in accordance with 13.5.3.2 and 13.5.3.3",13.5.3.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1121
 Design for transfer of loadfrom slabs to supporting columns or walls through shear and torsion shall be in accordance with Chapter 11 ,13.5.4,13.5 -Design procedures,13.5.4,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1122
,13.6  Directdesign method,13.6  Directdesign method,,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1123
Design of slab systems within the following limitations by the Direct Design Method shall be permitted. ,13.6.1 -Limitations,13.6  Directdesign method,13.6.1 -Limitations,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1124
 There shall be a minimum ofthree continuous spans each direction. ,13.6.1.1,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1125
 Panels shall be rectangular witha rati0oflonger to shorter span center-to-center ofsupports withina panel not ,13.6.1.2,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1126
 Successive span lengths center-io-center of supports in each direction shall not differ by more than onethird the longer span.  ,13.6.1.3,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1127
 Offset ofcolumns by a maximum of 10% ofthe span (in direction ofoffset) from either axis between centerlines ofsuccessive columns shall be permitted. ,13.6.1.4,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1128
 All loads shall be dueto gravity only and uniformly distributed over an entire panel. Live load shall not exceed two times dead load. ,13.6.1.5,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.5,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1129
" For a panel with beams between supports on allsides, the relative stiffness of beams in two perpendicular directions (13-2) shall not be less than 0.2 nor greater than 5.0 ",13.6.1.6,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.6,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1130
 Moment redistribution as permitted by8.4 shall not be applied for slab systems designed by the Direct Design Method. See 13.6.7. ,13.6.1.7,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.7,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1131
 Variations from the limitationsof13.6.1 shall be permitted ifdemonstrated by analysis that requirements of 13.5.1 are satisfied. (13-1) ,13.6.1.8,13.6  Directdesign method,13.6.1 -Limitations,13.6.1.8,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1132
,13.6.2 -Total factored static moment for span,13.6  Directdesign method,13.6.2 -Total factored static moment for span,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1133
 Total factored static moment fora span shall be determined astrip bounded laterally by center line ofpanel on eachsideofcenterline ofsupports. ,13.6.2.1,13.6  Directdesign method,13.6.2 -Total factored static moment for span,13.6.2.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1134
 Absolute sum ofpositive and average negative factored moments in each directionshall not be less than w 4 占쏙옙 Mo = (13-3) 8 ,13.6.2.2,13.6  Directdesign method,13.6.2 -Total factored static moment for span,13.6.2.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1135
" Where the transverse span ofpanels on eithe I side ofthecenterline ofsupports varies,6in Eq (13-3) shall be taken as the average ofadjacent transverse spans. ",13.6.2.3,13.6  Directdesign method,13.6.2 -Total factored static moment for span,13.6.2.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1136
" When the span adjacent and parallel to an edge is being considered, the distance from edge to panel center lineshall besubstituted for5in Eq.(13-3). ",13.6.2.4,13.6  Directdesign method,13.6.2 -Total factored static moment for span,13.6.2.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1137
" Clear span in shall extend from face to face of columns, capitals, brackets, or walls. Value of in used in Eq. (13-3) shall not be less than0.654 Circular or regular polygon shaped supports shall betreated as square supports with the same area.  ",13.6.2.5,13.6  Directdesign method,13.6.2 -Total factored static moment for span,13.6.2.5,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1138
,13.6.3  -Negative and positive factored moments,13.6  Directdesign method,13.6.3  -Negative and positive factored moments,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1139
 Negative factored momentsshall be located at face of rectangular supports. Circularor regular polygon shaped supports shall be treated as square supports with the same area. ,13.6.3.1,13.6  Directdesign method,13.6.3  -Negative and positive factored moments,13.6.3.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1140
" In an Interior span, total static momentMoshall be distributed as follows: Negative factored moment 0.65 Positive factored moment. .0.35 ",13.6.3.2,13.6  Directdesign method,13.6.3  -Negative and positive factored moments,13.6.3.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1141
" In an end span, total factored static momentM0 shall be distributed as follows: (1) (2) (3) (4) (5) Slabwithoutbeams Slabwith between interior Exterior beams supports Exterior edgeunre between all Without With eage edgefully strained supports edgebeam beam restrained Interior negative factored moment 0.75 0.70 0.70 0.70 0.65 Positive factored moment 0.63 0.57 0.52 0.50 0.35 Exterior negative factored moment 0 0.16 0.26 0.30 0.65 ",13.6.3.3,13.6  Directdesign method,13.6.3  -Negative and positive factored moments,13.6.3.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1142
 Negative moment sections shall be designed to resist thelarger ofthe two interior negative factored moments determined for spans framing into a common support unless an analysis IS made to distribute the unbalanced mo- ment in accordance with stiffnesses ofadjoining elements ,13.6.3.4,13.6  Directdesign method,13.6.3  -Negative and positive factored moments,13.6.3.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1143
 Edge beams or edges ofslab shall be proportioned to resist in torsion their share ofexterior negative fac- tored moments. ,13.6.3.5,13.6  Directdesign method,13.6.3  -Negative and positive factored moments,13.6.3.5,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1144
 The gravity load moment to be transferred be- tween slab and edge column in accordance with 13.5.3.1 shall be0.3Mo ,13.6.3.6,13.6  Directdesign method,13.6.3  -Negative and positive factored moments,13.6.3.6,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1145
,13.6.4 -Factored moments in column strips,13.6  Directdesign method,13.6.4 -Factored moments in column strips,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1146
 Column strips shall be proportioned toresist the following portions in percent ofinterior negative factored moments: 414 0.5 1.0 2.0 ( 1614)=0 75 75 75 ( 1614) 1.0 90 75 45 Linear interpolations shall be made between values shown. ,13.6.4.1,13.6  Directdesign method,13.6.4 -Factored moments in column strips,13.6.4.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1147
 Column strips shall be proportioned to resist the following portions in percent of exterior negative factored moments: 32 0.5 1.0 2.0 ( 1214)=0 t-0 100 100 100 t 2.5 075 075 075 ( 1614) 1.0 t=0 100 100 100 t 2.5 090 075 045 Linear interpolations shall be made between values shown. ,13.6.4.2,13.6  Directdesign method,13.6.4 -Factored moments in column strips,13.6.4.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1148
" Where supports consist ofcolumnsor walls extending fora distance equaltoor greater than three-quarters the span length 6 used to compute Mo, negative moments shall be considered to be uniformly distributed across6  ",13.6.4.3,13.6  Directdesign method,13.6.4 -Factored moments in column strips,13.6.4.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1149
 Column strips shall be proportioned toresist the followingportionsin percent ofpositive factored moments: 214 0.5 1.0 2.0 ( 1214)=0 60 60 60 ( 121) 1.0 90 75 45 Linear interpolations shall be made between values shown. ,13.6.4.4,13.6  Directdesign method,13.6.4 -Factored moments in column strips,13.6.4.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1150
" For slabs with beams between supports, the slab portion ofcolumn strips shall be proportioned to resist that portion ofcolumn strip moments not resisted by beams. ",13.6.4.5,13.6  Directdesign method,13.6.4 -Factored moments in column strips,13.6.4.5,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1151
,13.6.5  Factored momentsin beams,13.6  Directdesign method,13.6.5  Factored momentsin beams,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1152
 Beams between supports shall be proportioned to resist 85% ofcolumn strpp momentsif01514)1S equal to or greater than 1.0 ,13.6.5.1,13.6  Directdesign method,13.6.5  Factored momentsin beams,13.6.5.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1153
" For values of(a1514) between .0 and zero, proportion of column strip moments resisted by beams shall be obtained by linear interpolation between 85 and 0%. ",13.6.5.2,13.6  Directdesign method,13.6.5  Factored momentsin beams,13.6.5.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1154
" In addition to moments calculated for uniform loads according to 13.6.2.2 13.6.5.1, and 13.6.5.2, beams shall be proportioned to resist all moments caused by concentrated or linear loads applied directly to beams, including weight ofprojecting beam stem above or below the slab ",13.6.5.3,13.6  Directdesign method,13.6.5  Factored momentsin beams,13.6.5.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1155
,13.6.6  Factored moments in middle strips,13.6  Directdesign method,13.6.6  Factored moments in middle strips,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1156
 That portion ofnegative and positive factored moments not resisted by column strips shall be proportionately assigned to corresponding halfmiddle strips. ,13.6.6.1,13.6  Directdesign method,13.6.6  Factored moments in middle strips,13.6.6.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1157
 Each middle strip shall be proportioned to resist the sum ofthe moments assigned to its two halfmiddle strips. ,13.6.6.2,13.6  Directdesign method,13.6.6  Factored moments in middle strips,13.6.6.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1158
 A middlestrip adjacent to and parallel with an edge supported bya wall shall be proportioned to resist twice the momentassigned tothe halfmiddle strip corresponding to the first row ofinterior supports.  ,13.6.6.3,13.6  Directdesign method,13.6.6  Factored moments in middle strips,13.6.6.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1159
 Modification of factored moments Modification ofnegative and positive factored moments by 10% shall be permitted provided the total static moment fora panel in the direction considered is not less than that requiredby Eq. (13-3).  ,13.6.7,13.6  Directdesign method,13.6.7,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1160
,13.6.8  Factored shear in slab systems with beams,13.6  Directdesign method,13.6.8  Factored shear in slab systems with beams,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1161
 Beams with(a1614) equal to or greater than 1.0 shall be proportioned to resist shear caused by factored loads on tributary areas bounded by 45 degree lines drawn from the corners ofthe panels and the centerlines ofthe adJacent panels parallel to the long sides. ,13.6.8.1,13.6  Directdesign method,13.6.8  Factored shear in slab systems with beams,13.6.8.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1162
" In proportioning ofbeams with a1514 less than 1.0 to resist shear, linear interpolation, assuming beams carry no load at al = 0, shall be permitted. ",13.6.8.2,13.6  Directdesign method,13.6.8  Factored shear in slab systems with beams,13.6.8.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1163
" In addition to shears calculated according to 13.6.8.1 and 13.6.8.2, beams shall be proportioned to resist shears caused by factored loads applieddirectly on beams ",13.6.8.3,13.6  Directdesign method,13.6.8  Factored shear in slab systems with beams,13.6.8.3,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1164
 Computation of slab shear strength on the assumption that load 1S distributed to supporting beams in accordance with 13 6.8.1 or 13 6.8.2 shall be permitted. Resistance to total shear occurring on a panel shall be provided. ,13.6.8.4,13.6  Directdesign method,13.6.8  Factored shear in slab systems with beams,13.6.8.4,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1165
 Shear strength shall satisty requirements of Chapter 11.  ,13.6.8.5,13.6  Directdesign method,13.6.8  Factored shear in slab systems with beams,13.6.8.5,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1166
,13.6.9  Factored moments in columns and walls,13.6  Directdesign method,13.6.9  Factored moments in columns and walls,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1167
 Columnsand walls built integrally with aslab system shall resist moments caused by factored loads on the slab system. ,13.6.9.1,13.6  Directdesign method,13.6.9  Factored moments in columns and walls,13.6.9.1,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1168
" Atan interior support, supporting elements above andbelow the slab shall resist the moment specified byEq. (13-4)in direct proportion to their stiffnesses unless a general analysis 1S made. 0.07[(wd+05m)615-me1614,j11 M = (13-4) wherewas andin refertoshorter span. ",13.6.9.2,13.6  Directdesign method,13.6.9  Factored moments in columns and walls,13.6.9.2,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1169
,13.7 -Equivalent frame method,13.7 -Equivalent frame method,,,,CHAPTER 13 -TWO-WAY SLAB SYSTEMS,,,1170
